Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,"Consent Form object-12 Ich habe die Informationen gelesen und verstanden und erkläre unter den oben genannten Bedingungen mein Einverständnis, an dieser Studie teilzunehmen.
-Ich stimme zu
"
1,1719937591227,02/07/2024 16:26:31,1719948391227,3,02/07/2024 22:26:31,86579,59,questionnaire-5yii,,38696273,280560572528894,11359154,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 124.0.0.0,360x806,980x1595,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_17,1
1,1719939287906,02/07/2024 16:54:47,1719946487906,2,02/07/2024 20:54:47,86579,59,questionnaire-5yii,,38697173,280560572377184,11359368,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x958,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_12,,1
1,1719939722334,02/07/2024 17:02:02,1719946922334,2,02/07/2024 21:02:02,86579,59,questionnaire-5yii,,38697348,280560572370954,11359410,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_12,,,1
1,1719941317395,02/07/2024 17:28:37,1719948517395,2,02/07/2024 21:28:37,86579,59,questionnaire-5yii,,38700694,280560572503248,11359930,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,2560x1440,2512x1318,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_9,1
1,1719944061925,02/07/2024 18:14:21,1719947661925,1,02/07/2024 20:14:21,86579,59,questionnaire-5yii,,38702863,280560572517622,11360479,,complete,,,mobile,undefined K,Android 10,Edge 122.0.0.0,360x820,360x580,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_15,1
1,1719949905887,02/07/2024 19:51:45,1719957105887,2,02/07/2024 23:51:45,86579,59,questionnaire-5yii,,38706539,280560572532831,11361087,,complete,,,computer,Desktop or Laptop,Windows 10,Avast Secure Browser 126.0.0.0,1536x864,1536x695,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_7,,1
1,1719952994871,02/07/2024 20:43:14,1719960194871,2,03/07/2024 00:43:14,86579,59,questionnaire-5yii,,38709856,280560572521558,11361818,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1598x749,1598x624,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_8,,,1
1,1719954885906,02/07/2024 21:14:45,1719962085906,2,03/07/2024 01:14:45,86579,59,questionnaire-5yii,,38710275,280560572525756,11361935,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x703,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_23,1
1,1719956072630,02/07/2024 21:34:32,1719963272630,2,03/07/2024 01:34:32,86579,59,questionnaire-5yii,,38710572,280560572508198,11361994,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1920x1080,1920x919,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_2,,1
1,1719959637924,02/07/2024 22:33:57,1719966837924,2,03/07/2024 02:33:57,86579,59,questionnaire-5yii,,38711410,280560572377202,11362246,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_10,,,1
1,1719961382439,02/07/2024 23:03:02,1719968582439,2,03/07/2024 03:03:02,86579,59,questionnaire-5yii,,38712253,280560572378237,11362514,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1440x932,1221x741,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_25,1
1,1719981093167,03/07/2024 04:31:33,1719988293167,2,03/07/2024 08:31:33,86579,59,questionnaire-5yii,,38713530,280560572377188,11362806,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1280x1024,1280x881,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_8,,1
1,1719982002031,03/07/2024 04:46:42,1719989202031,2,03/07/2024 08:46:42,86579,59,questionnaire-5yii,,38713558,280560572386356,11362813,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x960,1536x791,End study,,0,Consent form,7,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_24,1
1,1719991974411,03/07/2024 07:32:54,1719999174411,2,03/07/2024 11:32:54,86579,59,questionnaire-5yii,,38714752,280560572379287,11363118,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,End study,,0,Consent form,7,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_4,,1
1,1719993137496,03/07/2024 07:52:17,1720000337496,2,03/07/2024 11:52:17,86579,59,questionnaire-5yii,,38715193,280560572371198,11363246,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 115.0,2144x1206,2144x1035,End study,,0,Consent form,7,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_5,,,1
