Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1719961335435,02/07/2024 23:02:15,1719968535435,2,03/07/2024 03:02:15,86579,59,task-q8b2,,38712247,280560572377202,11362246,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_10,,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1719961338050,02/07/2024 23:02:18,1719968538050,2,03/07/2024 03:02:18,86579,59,task-q8b2,,38712247,280560572377202,11362246,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_10,,,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,2638.424000023842,2632.2239999999997,2638.424000023842,2638.424000023842,2632.2239999999997,2638.424000023842,1,2638.424000023842,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1719961338051,02/07/2024 23:02:18,1719968538051,2,03/07/2024 03:02:18,86579,59,task-q8b2,,38712247,280560572377202,11362246,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x738,End study,,0,Thank you,3,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_10,,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1719963390779,02/07/2024 23:36:30,1719970590779,2,03/07/2024 03:36:30,86579,59,task-q8b2,,38712488,280560572378237,11362514,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1440x932,1440x824,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_25,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1719963393154,02/07/2024 23:36:33,1719970593154,2,03/07/2024 03:36:33,86579,59,task-q8b2,,38712488,280560572378237,11362514,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1440x932,1440x824,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_25,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,4608.000000000001,4599,4608.000000000001,4608.000000000001,4599,4608.000000000001,1,4608.000000000001,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1719963393156,02/07/2024 23:36:33,1719970593156,2,03/07/2024 03:36:33,86579,59,task-q8b2,,38712488,280560572378237,11362514,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,1440x932,1440x824,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_25,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1719982276834,03/07/2024 04:51:16,1719989476834,2,03/07/2024 08:51:16,86579,59,task-q8b2,,38713572,280560572377188,11362806,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1280x1024,1280x881,End study,,0,Thank you,3,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_8,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1719982279064,03/07/2024 04:51:19,1719989479064,2,03/07/2024 08:51:19,86579,59,task-q8b2,,38713572,280560572377188,11362806,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1280x1024,1280x881,End study,,0,Thank you,3,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_8,,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,2237.22,2232.4,2237.22,2237.22,2232.4,2237.22,1,2237.22,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1719982279067,03/07/2024 04:51:19,1719989479067,2,03/07/2024 08:51:19,86579,59,task-q8b2,,38713572,280560572377188,11362806,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 127.0,1280x1024,1280x881,End study,,0,Thank you,3,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_8,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1719982658071,03/07/2024 04:57:38,1719989858071,2,03/07/2024 08:57:38,86579,59,task-q8b2,,38713585,280560572386356,11362813,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x960,1536x791,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_24,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1719982660396,03/07/2024 04:57:40,1719989860396,2,03/07/2024 08:57:40,86579,59,task-q8b2,,38713585,280560572386356,11362813,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x960,1536x791,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_24,Spreadsheet1,Spreadsheet1,1,Danke,Screen 1,gl8bhj,1,continue,,3428.1999999284744,3420.9,3428.1999999284744,3428.1999999284744,3420.9,3428.1999999284744,1,3428.1999999284744,0,0,,Click To Continue,Continue Button,2,object-4,Danke,
3,1719982660400,03/07/2024 04:57:40,1719989860400,2,03/07/2024 08:57:40,86579,59,task-q8b2,,38713585,280560572386356,11362813,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x960,1536x791,End study,,0,Thank you,3,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_24,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
