Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Audio,Spreadsheet: Variety,Manipulation: Spreadsheet,Store: Progress
7,1719932649488,02/07/2024 15:04:09,1719939849488,2,02/07/2024 19:04:09,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,response,Bairisch,16515.5,17982,17992.09999997616,16515.5,17982,17992.09999997616,1,16515.5,1476.5999999761589,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,UDMA21_non-st_A6.mp3,non-st,,44
8,1719932649736,02/07/2024 15:04:09,1719939849736,2,02/07/2024 19:04:09,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,18239.59999997616,18232,18239.59999997616,18239.59999997616,18232,18239.59999997616,1,18239.59999997616,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,UDMA21_non-st_A6.mp3,non-st,,44
9,1719932655018,02/07/2024 15:04:15,1719939855018,2,02/07/2024 19:04:15,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,5290.299999964238,5283.000000000004,5290.299999964238,5290.299999964238,5283.000000000004,5290.299999964238,1,5290.299999964238,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,ROHA11_st_A6.mp3,st,,44
10,1719932661599,02/07/2024 15:04:21,1719939861599,2,02/07/2024 19:04:21,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,continue,,11870.89999998808,11865.8,11870.89999998808,11870.89999998808,11865.8,11870.89999998808,1,11870.89999998808,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,ROHA11_st_A6.mp3,st,,44
11,1719932661601,02/07/2024 15:04:21,1719939861601,2,02/07/2024 19:04:21,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,response,4,6616.299999999999,11865.8,11873.099999976159,6616.299999999999,11865.8,11873.099999976159,1,6616.299999999999,5256.79999997616,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,ROHA11_st_A6.mp3,st,,45
12,1719932661602,02/07/2024 15:04:21,1719939861602,2,02/07/2024 19:04:21,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,response,Alemannisch,10082.600000000002,11865.8,11873.599999976159,10082.600000000002,11865.8,11873.599999976159,1,10082.600000000002,1790.9999999761567,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,ROHA11_st_A6.mp3,st,,45
13,1719932669172,02/07/2024 15:04:29,1719939869172,2,02/07/2024 19:04:29,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,19444.09999997616,19432.000000000004,19444.09999997616,19444.09999997616,19432.000000000004,19444.09999997616,1,19444.09999997616,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,ROHA11_st_A6.mp3,st,,45
14,1719932680339,02/07/2024 15:04:40,1719939880339,2,02/07/2024 19:04:40,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,1,Paradigm check,Screen 1,1mw97n,1,response,continue,11178.099999976155,11165.799999999996,11178.099999976155,11178.099999976155,11165.799999999996,11178.099999976155,1,11178.099999976155,0,0,ResponseProgress,Click Response,Continue,5,object-1178,,Paradigm check,,,,46
15,1719932680341,02/07/2024 15:04:40,1719939880341,2,02/07/2024 19:04:40,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,1,Paradigm check,Screen 1,1mw97n,1,response,hghhg,5732.899999999994,11165.799999999996,11180.799999964234,5732.899999999994,11165.799999999996,11180.799999964234,1,5732.899999999994,5447.89999996424,0,,Text Entry,Text Entry,3,object-1145,,Paradigm check,,,,46
16,1719932680341,02/07/2024 15:04:40,1719939880341,2,02/07/2024 19:04:40,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,1,Paradigm check,Screen 1,1mw97n,1,response,jhhgghj,9149.399999999994,11165.799999999996,11181.099999976155,9149.399999999994,11165.799999999996,11181.099999976155,1,9149.399999999994,2031.699999976161,0,,Text Entry,Text Entry,4,object-1146,,Paradigm check,,,,46
17,1719932681552,02/07/2024 15:04:41,1719939881552,2,02/07/2024 19:04:41,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,1,Instructions3,Screen 1,d2amsh,1,continue,,1226.2999999761596,1216.5999999999985,1226.2999999761596,1226.2999999761596,1216.5999999999985,1226.2999999761596,1,1226.2999999761596,0,0,,Click To Continue,Continue Button,2,object-1272,,Instructions3,,,,47
18,1719932681553,02/07/2024 15:04:41,1719939881553,2,02/07/2024 19:04:41,86579,59,task-brwb,,38689353,280560572509253,11357472,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1024x768,1024x641,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_1,,,Origin_authenticity_M,Origin_authenticity_M,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,
1,1719930428323,02/07/2024 14:27:08,1719941228323,3,02/07/2024 20:27:08,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719930444205,02/07/2024 14:27:24,1719941244205,3,02/07/2024 20:27:24,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,1,Political level,Screen 1,ptfor7,1,continue,,15913.5,15906.599999999999,15913.5,15913.5,15906.599999999999,15913.5,1,15913.5,0,0,,Click To Continue,Continue Button,1,object-19,,Political level,,,,43
3,1719930444214,02/07/2024 14:27:24,1719941244214,3,02/07/2024 20:27:24,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,1,Political level,Screen 1,ptfor7,1,response,regional (z.B. in einem Landtag),14693.800000000003,15906.599999999999,15923.100000023842,14693.800000000003,15906.599999999999,15923.100000023842,1,14693.800000000003,1229.300000023839,0,,Dropdown,Dropdown,6,object-18,,Political level,,,,43
4,1719930461192,02/07/2024 14:27:41,1719941261192,3,02/07/2024 20:27:41,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,continue,,16994.9,16988.1,16994.9,16994.9,16988.1,16994.9,1,16994.9,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,UDMA21_non-st_A3.mp3,non-st,,43
5,1719930461201,02/07/2024 14:27:41,1719941261201,3,02/07/2024 20:27:41,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,response,7,7162.700000000004,16988.1,17001.79999997616,7162.700000000004,16988.1,17001.79999997616,1,7162.700000000004,9839.099999976155,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,UDMA21_non-st_A3.mp3,non-st,,44
6,1719930461202,02/07/2024 14:27:41,1719941261202,3,02/07/2024 20:27:41,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,1,Origin & authenticity,Screen 1,r5fdzm,1,response,Bairisch,15609.800000000003,16988.1,17004.699999999997,15609.800000000003,16988.1,17004.699999999997,1,15609.800000000003,1394.8999999999942,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,UDMA21_non-st_A3.mp3,non-st,,44
7,1719930470294,02/07/2024 14:27:50,1719941270294,3,02/07/2024 20:27:50,86579,59,task-brwb,,38691180,280560572510294,11357894,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 126.0.0.0,320x712,980x1788,End study,,0,"Origin & authenticity only male, only female",16,Speaker Gender M,,pass,,Consent given,Audio evaluation male,Origin & authenticity male,Demographics,,,,End study,pass,Audio check male,,,,,,M_2,,,Origin_authenticity_M,Origin_authenticity_M,2,Origin & authenticity,Screen 1,r5fdzm,1,continue,,9107.699999976161,9092.199999999997,9107.699999976161,9107.699999976161,9092.199999999997,9107.699999976161,1,9107.699999976161,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,UDMA21_st_A5.mp3,st,,44
