Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Audio,Spreadsheet: Variety,Manipulation: Spreadsheet,Store: Progress
19,1719928344584,02/07/2024 13:52:24,1719935544584,2,02/07/2024 17:52:24,86579,59,task-r61o,,38685361,280560572515517,11356470,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x960,1659x838,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_4,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Instructions3,Screen 1,d2amsh,1,continue,,4288.200000000739,4284.899999999994,4288.200000000739,4288.200000000739,4284.899999999994,4288.200000000739,1,4288.200000000739,0,0,,Click To Continue,Continue Button,2,object-1272,,Instructions3,,,,40
20,1719928344586,02/07/2024 13:52:24,1719935544586,2,02/07/2024 17:52:24,86579,59,task-r61o,,38685361,280560572515517,11356470,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1707x960,1659x838,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_4,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,
1,1719929878181,02/07/2024 14:17:58,1719937078181,2,02/07/2024 18:17:58,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,
2,1719929893777,02/07/2024 14:18:13,1719937093777,2,02/07/2024 18:18:13,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Political level,Screen 1,ptfor7,1,continue,,15605.499999976159,15598.500000000002,15605.499999976159,15605.499999976159,15598.500000000002,15605.499999976159,1,15605.499999976159,0,0,,Click To Continue,Continue Button,1,object-19,,Political level,,,,36
3,1719929893780,02/07/2024 14:18:13,1719937093780,2,02/07/2024 18:18:13,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Political level,Screen 1,ptfor7,1,response,regional (z.B. in einem Landtag),14082.000000000002,15598.500000000002,15608.700000023842,14082.000000000002,15598.500000000002,15608.700000023842,1,14082.000000000002,1526.7000000238404,0,,Dropdown,Dropdown,6,object-32,,Political level,,,,36
4,1719929896198,02/07/2024 14:18:16,1719937096198,2,02/07/2024 18:18:16,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio started,2428.4999999761567,2416.5,2428.4999999761567,2428.4999999761567,2416.5,2428.4999999761567,1,2428.4999999761567,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,HUWA01_non-st_A3.mp3,non-st,,36
5,1719929904582,02/07/2024 14:18:24,1719937104582,2,02/07/2024 18:18:24,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,info,audio finished,10811.999999976157,10799.099999999999,10811.999999976157,10811.999999976157,10799.099999999999,10811.999999976157,1,10811.999999976157,0,0,,Audio Clip,Audio,1,object-1316,,Origin & authenticity,HUWA01_non-st_A3.mp3,non-st,,36
6,1719929913464,02/07/2024 14:18:33,1719937113464,2,02/07/2024 18:18:33,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,continue,,19694.20000002384,19681.6,19694.20000002384,19694.20000002384,19681.6,19694.20000002384,1,19694.20000002384,0,0,,Click To Continue,Continue Button,2,object-1317,,Origin & authenticity,HUWA01_non-st_A3.mp3,non-st,,36
7,1719929913465,02/07/2024 14:18:33,1719937113465,2,02/07/2024 18:18:33,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,response,6,11765.699999999997,19681.6,19694.900000071524,11765.699999999997,19681.6,19694.900000071524,1,11765.699999999997,7929.200000071527,0,ResponseProgress,Rating Scale,Rating Scale,5,object-4,,Origin & authenticity,HUWA01_non-st_A3.mp3,non-st,,37
8,1719929913466,02/07/2024 14:18:33,1719937113466,2,02/07/2024 18:18:33,86579,59,task-r61o,,38687253,280560572375091,11356762,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,Origin & authenticity male vs. female,24,Speaker Gender M vs. F,,,pass,Consent given,,,Demographics,,,Audio evaluation male vs. female,End study,,,,,Audio check male vs. female,pass,Origin & authenticity male vs. female,,,M_vs._F_16,Origin_authenticity_M_vs._F,Origin_authenticity_M_vs._F,1,Origin & authenticity,Screen 1,r5fdzm,1,response,Schwäbisch,18848.4,19681.6,19695.70000002384,18848.4,19681.6,19695.70000002384,1,18848.4,847.300000023839,0,,Dropdown,Dropdown,7,object-6,,Origin & authenticity,HUWA01_non-st_A3.mp3,non-st,,37
