Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Speaker Gender,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Trial type,Spreadsheet: Audio,Spreadsheet: Speaker,Spreadsheet: Speaker illusion,Spreadsheet: Speaker gender,Spreadsheet: Variety,Spreadsheet: Political orientation,Spreadsheet: Stimulus number,Spreadsheet: Stimulus1,Spreadsheet: Stimulus2,Spreadsheet: Stimulus3,Spreadsheet: Stimulus4,Spreadsheet: Stimulus5,Spreadsheet: Stimulus6,Spreadsheet: Attention Check,Spreadsheet: Correct,Spreadsheet: ,Manipulation: Spreadsheet,Manipulation: Speaker Gender,Store: Progress,Store: Attention Check,Store: Test,Store: Feedback,Store: Attention Check Redirect,Store: Content Attention Check
1,1719843699587,01/07/2024 14:21:39,1719850899587,2,01/07/2024 18:21:39,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,$${CounterbalanceFemale},,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1719843708164,01/07/2024 14:21:48,1719850908164,2,01/07/2024 18:21:48,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 1,o7izo2,1,continue,,8599.699999928474,8583.5,8599.699999928474,8599.699999928474,8583.5,8599.699999928474,1,8599.699999928474,0,0,,Click To Continue,Continue Button,2,object-1171,,Instructions1,,,,,,,,,,,,,,,,,,,Female,3,,,,,
3,1719843715517,01/07/2024 14:21:55,1719850915517,2,01/07/2024 18:21:55,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 2,5e7h7u,2,continue,,7370.899999976158,7366.700000000001,7370.899999976158,7370.899999976158,7366.700000000001,7370.899999976158,1,7370.899999976158,0,0,,Click To Continue,Continue Button,2,object-1260,,Instructions1,,,,,,,,,,,,,,,,,,,Female,4,,,,,
4,1719843717062,01/07/2024 14:21:57,1719850917062,2,01/07/2024 18:21:57,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 3,9t27mn,3,continue,,1549.6999999761574,1533.2999999999993,1549.6999999761574,1549.6999999761574,1533.2999999999993,1549.6999999761574,1,1549.6999999761574,0,0,,Click To Continue,Continue Button,2,object-26,,Instructions1,,,,,,,,,,,,,,,,,,,Female,5,,,,,
5,1719843717131,01/07/2024 14:21:57,1719850917131,2,01/07/2024 18:21:57,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions1,Screen 4,q3lb72,4,continue,,84.69999992847443,83.29999999999927,84.69999992847443,84.69999992847443,83.29999999999927,84.69999992847443,1,84.69999992847443,0,0,,Click To Continue,Continue Button,2,object-35,,Instructions1,,,,,,,,,,,,,,,,,,,Female,6,,,,,
6,1719843717184,01/07/2024 14:21:57,1719850917184,2,01/07/2024 18:21:57,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,info,audio started,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Audio Clip,Audio,27,object-2205,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,,,
7,1719843724523,01/07/2024 14:22:04,1719850924523,2,01/07/2024 18:22:04,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,info,audio finished,7393.999999952317,7383.500000000004,7393.999999952317,7393.999999952317,7383.500000000004,7393.999999952317,1,7393.999999952317,0,0,,Audio Clip,Audio,27,object-2205,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,,,
8,1719843725642,01/07/2024 14:22:05,1719850925642,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,continue,,8510.800000023843,8500.2,8510.800000023843,8510.800000023843,8500.2,8510.800000023843,1,8510.800000023843,0,0,,Click To Continue,Continue Button,3,object-1765,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,,,
9,1719843725646,01/07/2024 14:22:05,1719850925646,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,3366.899999999998,8500.2,8516.599999976159,3366.899999999998,8500.2,8516.599999976159,1,3366.899999999998,5149.699999976161,0,AttentionCheck,Rating Scale,Rating Charisma,2,object-1764,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
10,1719843725647,01/07/2024 14:22:05,1719850925647,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,3916.7000000000007,8500.2,8516.899999999998,3916.7000000000007,8500.2,8516.899999999998,1,3916.7000000000007,4600.199999999997,0,,Rating Scale,Rating Scale,5,object-1767,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
11,1719843725649,01/07/2024 14:22:05,1719850925649,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,4333.500000000004,8500.2,8516.899999999998,4333.500000000004,8500.2,8516.899999999998,1,4333.500000000004,4183.399999999994,0,,Rating Scale,Rating Scale,7,object-1769,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
12,1719843725650,01/07/2024 14:22:05,1719850925650,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,5450.200000000001,8500.2,8516.899999999998,5450.200000000001,8500.2,8516.899999999998,1,5450.200000000001,3066.699999999997,0,,Rating Scale,Rating Scale,9,object-1771,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
13,1719843725651,01/07/2024 14:22:05,1719850925651,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,5933.799999999999,8500.2,8516.899999999998,5933.799999999999,8500.2,8516.899999999998,1,5933.799999999999,2583.0999999999985,0,,Rating Scale,Rating Scale,13,object-1775,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
14,1719843725653,01/07/2024 14:22:05,1719850925653,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,6766.799999999999,8500.2,8516.899999999998,6766.799999999999,8500.2,8516.899999999998,1,6766.799999999999,1750.0999999999985,0,,Rating Scale,Rating Scale,15,object-1777,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,6,,,4,,
15,1719843725654,01/07/2024 14:22:05,1719850925654,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 1,bb5eho,1,response,4,7316.799999999999,8500.2,8516.899999999998,7316.799999999999,8500.2,8516.899999999998,1,7316.799999999999,1200.0999999999985,0,ResponseProgress,Rating Scale,Rating Scale,25,object-1787,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,7,,,4,,
16,1719843725659,01/07/2024 14:22:05,1719850925659,2,01/07/2024 18:22:05,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Screen 2,ahkyso,2,timedOut,,29.5,16.599999999998545,29.5,29.5,16.599999999998545,29.5,1,29.5,0,0,,Time Limit,screen,0,screen,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,7,,,4,,
17,1719843741530,01/07/2024 14:22:21,1719850941530,2,01/07/2024 18:22:21,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Practice Rounds,Incorrect,sb22eh,3,continue,,15884.400000000001,15883.5,15884.400000000001,15884.400000000001,15883.5,15884.400000000001,1,15884.400000000001,0,0,,Click To Continue,Continue Button,3,object-1847,,Practice Rounds,practice,THMA31_st_A0.mp3,Practice_Spkr,**Politiker/-in 1**,f,st,n,0,**redegewandt**,**intelligent**,**charismatisch**,**begeisternd**,**sympathisch**,**überzeugend**,**eins**,1,,,Female,7,,,4,,
18,1719843743562,01/07/2024 14:22:23,1719850943562,2,01/07/2024 18:22:23,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Instructions2,Screen 1,9kycfq,1,continue,,2032.1999999523177,2016.7000000000044,2032.1999999523177,2032.1999999523177,2016.7000000000044,2032.1999999523177,1,2032.1999999523177,0,0,,Click To Continue,Continue Button,2,object-1266,,Instructions2,,,,,,,,,,,,,,,,,,,Female,8,,,4,,
19,1719843743604,01/07/2024 14:22:23,1719850943604,2,01/07/2024 18:22:23,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,info,audio started,16.700000000004366,0,16.700000000004366,16.700000000004366,0,16.700000000004366,0,16.700000000004366,0,0,,Audio Clip,Audio Clip,2,object-2005,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
20,1719843752114,01/07/2024 14:22:32,1719850952114,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,continue,,8566.799999999988,8550.099999999991,8566.799999999988,8566.799999999988,8550.099999999991,8566.799999999988,0,8566.799999999988,0,0,,Click To Continue,Continue Button,4,object-2007,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
21,1719843752118,01/07/2024 14:22:32,1719850952118,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,5,3516.5999999999985,8550.099999999991,8566.799999999988,3516.5999999999985,8550.099999999991,8566.799999999988,0,3516.5999999999985,5050.19999999999,0,,Rating Scale,RatingScale_Stimulus1,3,object-2006,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
22,1719843752119,01/07/2024 14:22:32,1719850952119,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,5,3933.399999999994,8550.099999999991,8566.799999999988,3933.399999999994,8550.099999999991,8566.799999999988,0,3933.399999999994,4633.399999999994,0,,Rating Scale,RatingScale_Stimulus2,6,object-2009,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
23,1719843752120,01/07/2024 14:22:32,1719850952120,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,5,4550.0999999999985,8550.099999999991,8566.799999999988,4550.0999999999985,8550.099999999991,8566.799999999988,0,4550.0999999999985,4016.69999999999,0,,Rating Scale,RatingScale_Stimulus3,8,object-2011,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
24,1719843752122,01/07/2024 14:22:32,1719850952122,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,5,5083.399999999994,8550.099999999991,8566.799999999988,5083.399999999994,8550.099999999991,8566.799999999988,0,5083.399999999994,3483.399999999994,0,,Rating Scale,RatingScale_Stimulus4,10,object-2013,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
25,1719843752123,01/07/2024 14:22:32,1719850952123,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,5,5417,8550.099999999991,8566.799999999988,5417,8550.099999999991,8566.799999999988,0,5417,3149.7999999999884,0,,Rating Scale,RatingScale_Stimulus5,14,object-2017,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,0,,4,,
26,1719843752125,01/07/2024 14:22:32,1719850952125,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,3,2416.699999999997,8550.099999999991,8566.799999999988,2416.699999999997,8550.099999999991,8566.799999999988,1,2416.699999999997,6150.099999999991,0,AttentionCheck,Rating Scale,RatingScale_AttentionCheck,16,object-2019,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,8,100,,4,,
27,1719843752128,01/07/2024 14:22:32,1719850952128,2,01/07/2024 18:22:32,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,response,5,7233.399999999994,8550.099999999991,8566.799999999988,7233.399999999994,8550.099999999991,8566.799999999988,0,7233.399999999994,1333.3999999999942,0,ResponseProgress,Rating Scale,RatingScale_Stimulus6,26,object-2029,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,9,100,,4,,
28,1719843758342,01/07/2024 14:22:38,1719850958342,2,01/07/2024 18:22:38,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial6,Screen 1,zg2zk5,1,info,audio finished,14794.099999976155,14783.5,14794.099999976155,14794.099999976155,14783.5,14794.099999976155,0,14794.099999976155,0,0,,Audio Clip,Audio Clip,2,object-2005,,Trial6,Filler,KAMA04_non-st_A6.mp3,FillerSpkr1,**Politiker/-in 2**,f,non-st,r,6,**überzeugend**,**intelligent**,**redegewandt**,**charismatisch**,**sympathisch**,**begeisternd**,**drei**,3,,,Female,9,100,,4,,
29,1719843758381,01/07/2024 14:22:38,1719850958381,2,01/07/2024 18:22:38,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,1,Trial5,Screen 1,dklsgd,1,info,audio started,16.69999999999709,0,16.69999999999709,16.69999999999709,0,16.69999999999709,0,16.69999999999709,0,0,,Audio Clip,Audio Clip,2,object-1977,,Trial5,ExpSpkr1_non-st,HUWA01_non-st_A6.mp3,ExpSpkr1,**Politiker/-in 4**,f,non-st,r,6,**begeisternd**,**charismatisch**,**überzeugend**,**intelligent**,**redegewandt**,**sympathisch**,**sechs**,6,,,Female,9,100,,4,,
