Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-rtb5,branch-r1zd,branch-m8ae,branch-yceh,checkpoint-fbue,checkpoint-7icl,checkpoint-7zea,checkpoint-yqmp,checkpoint-tf61,checkpoint-7zgv,checkpoint-ko3x,checkpoint-toq5,branch-3g7m,checkpoint-j7nf,checkpoint-ga9e,branch-l9tl,checkpoint-5iff,branch-req5,checkpoint-7gp2,counterbalance-xq3l,counterbalance-nimi,counterbalance-x3xi,Spreadsheet,Speaker Gender,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Display,Spreadsheet: Trial type,Spreadsheet: Audio,Spreadsheet: Speaker,Spreadsheet: Speaker illusion,Spreadsheet: Speaker gender,Spreadsheet: Variety,Spreadsheet: Political orientation,Spreadsheet: Stimulus number,Spreadsheet: Stimulus1,Spreadsheet: Stimulus2,Spreadsheet: Stimulus3,Spreadsheet: Stimulus4,Spreadsheet: Stimulus5,Spreadsheet: Stimulus6,Spreadsheet: Attention Check,Spreadsheet: Correct,Spreadsheet: ,Manipulation: Spreadsheet,Manipulation: Speaker Gender,Store: Progress,Store: Attention Check,Store: Test,Store: Feedback,Store: Attention Check Redirect,Store: Content Attention Check
228,1719844276955,01/07/2024 14:31:16,1719851476955,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,2200,11033.699999999953,11050.699999999953,2200,11033.699999999953,11050.699999999953,1,2200,8850.699999999953,0,,Rating Scale,RatingScale_Stimulus1,3,object-1950,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,30,100,,4,1,illegale Müllhalden
229,1719844276957,01/07/2024 14:31:16,1719851476957,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,2699.9000000000233,11033.699999999953,11050.699999999953,2699.9000000000233,11033.699999999953,11050.699999999953,1,2699.9000000000233,8350.79999999993,0,,Rating Scale,RatingScale_Stimulus2,6,object-1953,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,30,100,,4,1,illegale Müllhalden
230,1719844276959,01/07/2024 14:31:16,1719851476959,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,3166.6999999999534,11033.699999999953,11050.699999999953,3166.6999999999534,11033.699999999953,11050.699999999953,1,3166.6999999999534,7884,0,,Rating Scale,RatingScale_Stimulus3,8,object-1955,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,30,100,,4,1,illegale Müllhalden
231,1719844276962,01/07/2024 14:31:16,1719851476962,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,3850,11033.699999999953,11050.699999999953,3850,11033.699999999953,11050.699999999953,1,3850,7200.699999999953,0,AttentionCheck,Rating Scale,RatingScale_AttentionCheck,10,object-1957,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,30,100,,4,1,illegale Müllhalden
232,1719844276965,01/07/2024 14:31:16,1719851476965,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,4400,11033.699999999953,11050.699999999953,4400,11033.699999999953,11050.699999999953,1,4400,6650.699999999953,0,,Rating Scale,RatingScale_Stimulus4,14,object-1961,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,30,100,,4,1,illegale Müllhalden
233,1719844276971,01/07/2024 14:31:16,1719851476971,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,5416.699999999953,11033.699999999953,11050.699999999953,5416.699999999953,11033.699999999953,11050.699999999953,1,5416.699999999953,5634,0,,Rating Scale,RatingScale_Stimulus5,16,object-1963,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,30,100,,4,1,illegale Müllhalden
234,1719844276974,01/07/2024 14:31:16,1719851476974,2,01/07/2024 18:31:16,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial4,Screen 1,ntrilv,1,response,6,7166.699999999953,11033.699999999953,11050.699999999953,7166.699999999953,11033.699999999953,11050.699999999953,1,7166.699999999953,3884,0,ResponseProgress,Rating Scale,RatingScale_Stimulus6,26,object-1973,,Trial4,Filler,PIAL12_st_A3.mp3,FillerSpkr2,**Politiker/-in 3**,f,st,l,3,**intelligent**,**redegewandt**,**sympathisch**,**überzeugend**,**charismatisch**,**begeisternd**,**sechs**,6,,,Female,31,100,,4,1,illegale Müllhalden
235,1719844277013,01/07/2024 14:31:17,1719851477013,2,01/07/2024 18:31:17,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial6,Screen 1,zg2zk5,1,info,audio started,17,0,17,17,0,17,0,17,0,0,,Audio Clip,Audio Clip,2,object-2005,,Trial6,ExpSpkr1_st,HUWA01_st_A5.mp3,ExpSpkr1,**Politiker/-in 5**,f,st,r,5,**charismatisch**,**begeisternd**,**redegewandt**,**sympathisch**,**intelligent**,**überzeugend**,**zwei**,2,,,Female,31,100,,4,1,illegale Müllhalden
236,1719844286850,01/07/2024 14:31:26,1719851486850,2,01/07/2024 18:31:26,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial6,Screen 1,zg2zk5,1,info,audio finished,9914.69999995234,9899.900000000023,9914.69999995234,9914.69999995234,9899.900000000023,9914.69999995234,0,9914.69999995234,0,0,,Audio Clip,Audio Clip,2,object-2005,,Trial6,ExpSpkr1_st,HUWA01_st_A5.mp3,ExpSpkr1,**Politiker/-in 5**,f,st,r,5,**charismatisch**,**begeisternd**,**redegewandt**,**sympathisch**,**intelligent**,**überzeugend**,**zwei**,2,,,Female,31,100,,4,1,illegale Müllhalden
237,1719844299084,01/07/2024 14:31:39,1719851499084,2,01/07/2024 18:31:39,86579,59,task-v697,,38652994,280475315358931,11344289,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,End study,,0,"Audio evaluation only male, only female",70,Speaker Gender F,pass,,,Consent given,,,Demographics,Audio evaluation female,Origin & authenticity female,,End study,,,Audio check female,pass,,,,,F_1,,$${CounterbalanceFemale},Female,F_1,4,Trial6,Screen 1,zg2zk5,1,continue,,22148.900000000023,22133.400000000023,22148.900000000023,22148.900000000023,22133.400000000023,22148.900000000023,0,22148.900000000023,0,0,,Click To Continue,Continue Button,4,object-2007,,Trial6,ExpSpkr1_st,HUWA01_st_A5.mp3,ExpSpkr1,**Politiker/-in 5**,f,st,r,5,**charismatisch**,**begeisternd**,**redegewandt**,**sympathisch**,**intelligent**,**überzeugend**,**zwei**,2,,,Female,31,100,,4,1,illegale Müllhalden
